pert_id	pert_iname	n_target_genes	n_protective_genes	n_strong_protective_genes	n_opposing_genes	mean_protective_push_z	median_protective_push_z	summed_weighted_push	total_weight	min_n_signatures	total_gene_signatures	weighted_mean_protective_push_z	fraction_genes_protective
BRD-K87947369	tozasertib	13	10	2	3	0.3624082998587535	0.5591826438903809	32.40769314532329	122.69809676726929	1	13	0.2641254754488442	0.7692307692307693
BRD-A34255068	rolipram	13	5	2	8	0.011592311354783865	-0.3112500011920929	31.59803389953347	122.69809676726929	1	13	0.25752668323346395	0.38461538461538464
BRD-A70449690	forskolin	13	6	2	7	0.21330379350827292	-0.1474415361881256	31.185218741123634	122.69809676726929	1	13	0.25416220432721937	0.46153846153846156
BRD-K96354014	nifedipine	13	10	2	3	0.27111524400802756	0.175535574555397	24.013801021448685	122.69809676726929	1	13	0.195714535548155	0.7692307692307693
BRD-K86682249	BRD-K86682249	13	6	2	7	0.07137692633729711	-0.059249997138977	22.616647721894413	122.69809676726929	1	13	0.1843276164649327	0.46153846153846156
BRD-A81936046	BRD-A81936046	13	7	2	6	0.02288462221622467	0.1000000238418579	21.572235080158766	122.69809676726929	1	13	0.1758155639616517	0.5384615384615384
BRD-A01145011	zebularine	13	7	2	6	0.09509615256236151	0.1157499998807907	20.811509649648837	122.69809676726929	1	13	0.16961558653288317	0.5384615384615384
BRD-K19295594	gossypol	13	7	2	6	0.17248070010772118	0.2554319500923157	19.304930432226055	122.69809676726929	1	13	0.1573368368446918	0.5384615384615384
BRD-K67844266	pevonedistat	13	7	2	6	0.0682846227517495	0.1753499954938888	18.967514947008564	122.69809676726929	1	13	0.15458687173433242	0.5384615384615384
BRD-K68336408	tyrphostin-AG-1478	13	9	2	4	0.17193798835460955	0.1380988955497741	15.296608388975205	122.69809676726929	1	13	0.12466866880575525	0.6923076923076923
BRD-K83354763	NFKB-activation-inhibitor-II	13	9	2	4	0.2668384634531461	0.3907000124454498	14.680683432003129	122.69809676726929	1	13	0.1196488276411417	0.6923076923076923
BRD-K10705233	GW-405833	13	7	2	6	0.09071692351538403	0.1116812825202941	14.115518937106504	122.69809676726929	1	13	0.11504268859100945	0.5384615384615384
BRD-K92301463	16,16-dimethylprostaglandin-e2	13	7	2	6	0.0571153725569065	0.4168000221252441	13.25479244718659	122.69809676726929	1	13	0.10802769396112111	0.5384615384615384
