pert_id	pert_iname	n_target_genes	n_protective_genes	n_strong_protective_genes	n_opposing_genes	mean_protective_push_z	median_protective_push_z	summed_weighted_push	total_weight	min_n_signatures	total_gene_signatures	weighted_mean_protective_push_z	fraction_genes_protective
BRD-K23363278	CYT-997	13	3	2	10	-0.5760269268200948	-0.5935499668121338	-57.66140034497036	122.69809676726929	1	13	-0.4699453525700653	0.23076923076923078
BRD-K33272502	DG-041	13	7	2	6	-0.3697423361814939	0.1416999995708465	-67.50113614423812	122.69809676726929	1	13	-0.550140042288289	0.5384615384615384
BRD-A41451487	PK-11195	13	4	2	9	-0.46563461193671596	-0.6350999474525452	-75.01019754481436	122.69809676726929	1	13	-0.611339535992085	0.3076923076923077
BRD-K57080016	selumetinib	13	6	2	7	-0.3444307904977065	-0.3103500008583069	-77.55151276411894	122.69809676726929	1	13	-0.6320514727397665	0.46153846153846156
BRD-K04010869	prostaglandin-a1	13	6	2	7	-0.8616121136225187	-0.5776990652084351	-82.0732729553007	122.69809676726929	1	13	-0.6689042056697525	0.46153846153846156
BRD-K83213911	PF-750	13	3	2	10	-0.5605444885217226	-0.7355979681015015	-85.34745118902154	122.69809676726929	1	13	-0.6955890387681112	0.23076923076923078
BRD-A14395271	mesoridazine	13	3	2	10	-0.8301352124947768	-0.5698938369750977	-103.16059120955353	122.69809676726929	1	13	-0.8407676559582337	0.23076923076923078
BRD-A19037878	trichostatin-a	13	4	2	9	-1.3270730880590587	-1.3989999294281006	-119.34562902706833	122.69809676726929	1	13	-0.9726771007168934	0.3076923076923077
BRD-K51575138	TPCA-1	13	3	2	10	-1.1104615812118237	-1.208899974822998	-121.05946752700657	122.69809676726929	1	13	-0.9866450313131521	0.23076923076923078
BRD-A05874290	DL-TBOA	13	4	2	9	-1.1043127907010226	-1.010800004005432	-127.58453789336173	122.69809676726929	1	13	-1.0398249137911317	0.3076923076923077
BRD-A17883755	lenalidomide	13	3	2	10	-1.3981885084739099	-1.457450032234192	-195.64578394011724	122.69809676726929	1	13	-1.5945298997686437	0.23076923076923078
BRD-K75532464	FTI-276	13	9	1	4	0.3535188238781232	0.4018902778625488	51.565871987716804	122.69809676726929	1	13	0.4202662742644303	0.6923076923076923
BRD-A63646118	fumonisin-b1	13	9	1	4	0.2519307698194797	0.297650009393692	49.40928652861653	122.69809676726929	1	13	0.40268991802158793	0.6923076923076923
BRD-K78867378	MW-A1-12	13	9	1	4	0.24707170403920686	0.3698430061340332	43.002143178696606	122.69809676726929	1	13	0.35047115083017144	0.6923076923076923
BRD-K28360340	TW-37	13	9	1	4	0.3696653831463594	0.5589500069618225	41.90293627188681	122.69809676726929	1	13	0.3415125203724004	0.6923076923076923
BRD-K56343971	vemurafenib	13	9	1	4	0.34517307808765996	0.3880999982357025	37.02972490104824	122.69809676726929	1	13	0.30179543021995936	0.6923076923076923
BRD-K01779529	fluoropyruvate	13	9	1	4	0.27106922979538256	0.3052000105381012	35.04476435330513	122.69809676726929	1	13	0.28561783170750543	0.6923076923076923
BRD-A09533288	verapamil	13	6	1	7	0.03784230122199428	-0.0151000022888183	34.29965042822033	122.69809676726929	1	13	0.279545089385364	0.46153846153846156
BRD-K31342827	bisindolylmaleimide	13	8	1	5	0.26298781541677624	0.1651221662759781	27.663469936954627	122.69809676726929	1	13	0.22545964987073933	0.6153846153846154
BRD-K93023739	IKK-inhibitor-X	13	7	1	6	0.15432320821743745	0.0525777004659175	27.661424090192618	122.69809676726929	1	13	0.22544297604436458	0.5384615384615384
BRD-K93095519	SJ-172550	13	7	1	6	0.11785184076199165	0.2085885256528854	27.544469694376623	122.69809676726929	1	13	0.224489787699171	0.5384615384615384
BRD-K53595844	phenoxazine	13	8	1	5	0.15137905340928298	0.295641541481018	26.292528245473655	122.69809676726929	1	13	0.21428635763882034	0.6153846153846154
BRD-K66874953	pifithrin-alpha	13	7	1	6	0.022796157460946303	0.154100015759468	25.407918762143794	122.69809676726929	1	13	0.20707671456662366	0.5384615384615384
BRD-A70155556	lovastatin	13	9	1	4	0.28605895317517793	0.3604870438575744	25.31431994906792	122.69809676726929	1	13	0.20631387622159691	0.6923076923076923
BRD-K09907482	PRL-3-inhibitor-I	13	9	1	4	0.22231538536456916	0.2091500014066696	25.18804768419606	122.69809676726929	1	13	0.20528474644535136	0.6923076923076923
BRD-K15025317	BAY-11-7082	13	6	1	7	0.10164614480275372	-0.0148000121116638	23.832339786104985	122.69809676726929	1	13	0.1942356109346144	0.46153846153846156
BRD-K16406336	methylene-blue	13	8	1	5	0.22455655697446603	0.228846937417984	22.60642004952054	122.69809676726929	1	13	0.18424426005889755	0.6153846153846154
BRD-K09499853	KU-0060648	13	7	1	6	0.06829999387264254	0.1340500116348266	21.138585810014817	122.69809676726929	1	13	0.17228128525994957	0.5384615384615384
BRD-K78513633	lonidamine	13	6	1	7	-0.014938459946559006	-0.0075500011444091	19.32728820330273	122.69809676726929	1	13	0.15751905459432064	0.46153846153846156
BRD-K77947974	fluspirilene	13	7	1	6	0.21034221351146698	0.2101248353719711	19.268974056724947	122.69809676726929	1	13	0.15704378930403345	0.5384615384615384
BRD-K05653692	DL-PDMP	13	5	1	8	0.11254615852465993	-0.273900032043457	17.47231901973534	122.69809676726929	1	13	0.14240089683604792	0.38461538461538464
