pert_id	pert_iname	n_genes	n_positive_mr_effect	n_strong_precision_match	mean_mr_lincs_effect	median_mr_lincs_effect	sum_mr_lincs_effect	mean_precision_match	median_precision_match	sum_precision_match	mean_lincs_z	mean_mr_ivw_beta	median_mr_ivw_beta	fraction_positive_mr_effect	clinical_phase	moa	target	disease_area	indication	annotation_source	biology_note
BRD-K06890060	alda-1	13	3	2	-0.6072748891180845	-0.4493464804710115	-7.8945735585350985	-3.6571337972970333	-2.525976288568773	-47.54273936486143	0.7216615218382615	0.46811178153786825	0.8048867209111468	0.23076923076923078	Preclinical	aldehyde dehydrogenase activator	ALDH2	not annotated		Broad Repurposing Hub	
BRD-A75409952	wortmannin	13	4	2	-0.4802458783039262	-0.687528293971615	-6.24319641795104	-3.844975029633685	-2.7020115819972332	-49.98467538523791	0.20833140477920187	0.46811178153786825	0.8048867209111468	0.3076923076923077	Preclinical	PI3K inhibitor	PI4KA|PI4KB|PIK3CA|PIK3CD|PIK3CG|PIK3R1|PLK1|PRKDC	not annotated		Broad Repurposing Hub	
BRD-K56411643	BRD-K56411643	13	6	4	-0.40505286943117286	-0.10245247993059337	-5.265687302605247	-4.135209501922188	-0.9275253163356811	-53.75772352498844	0.08828159937491781	0.46811178153786825	0.8048867209111468	0.46153846153846156	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K11853856	PJ-34	13	5	4	-0.674639795924549	-0.3989404773156123	-8.770317347019137	-4.136527872409529	-2.898157416039874	-53.77486234132387	0.13219798986728382	0.46811178153786825	0.8048867209111468	0.38461538461538464	Preclinical	PARP inhibitor	EEF2|PARP1|PARP15|PARP3	not annotated		Broad Repurposing Hub	
BRD-K04010869	prostaglandin-a1	13	6	4	-0.7628995359500104	-0.46095542387296407	-9.917693967350134	-4.150283293194098	-1.8115718364030184	-53.95368281152328	0.5581195950508118	0.46811178153786825	0.8048867209111468	0.46153846153846156	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-A97437073	rosiglitazone	13	4	1	-0.7861099622807436	-0.4212506014291645	-10.219429509649666	-4.325471741855169	-2.6017825257138907	-56.23113264411719	0.6707566907772651	0.46811178153786825	0.8048867209111468	0.3076923076923077	Withdrawn	insulin sensitizer|PPAR receptor agonist	FFAR1|PPARG|TRPC5|TRPM3	not annotated		Broad Repurposing Hub	
BRD-K92317137	BRD-K92317137	13	2	1	-0.6380224999654599	-0.4763231855647894	-8.294292499550979	-4.347736247383189	-2.6520373086788265	-56.520571215981455	0.31575696284954363	0.46811178153786825	0.8048867209111468	0.15384615384615385	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K25737009	CD-1530	13	6	4	-0.5293568315166639	-0.681027320000306	-6.88163880971663	-4.393991084118478	-4.926355413816629	-57.12188409354022	0.05761537643579336	0.46811178153786825	0.8048867209111468	0.46153846153846156	Preclinical	retinoid receptor agonist	RARG	not annotated		Broad Repurposing Hub	
BRD-A14395271	mesoridazine	13	3	3	-0.8194846839462036	-0.3734060539392289	-10.653300891300646	-4.539237631743642	-2.90239634478228	-59.01008921266735	1.0787348059507518	0.46811178153786825	0.8048867209111468	0.23076923076923078	Launched	dopamine receptor antagonist	DRD2|HTR2A	neurology/psychiatry	schizophrenia	Broad Repurposing Hub	
BRD-K27316855	calcitriol	13	5	5	-0.8484053381266101	-0.8334156098868603	-11.029269395645931	-4.766508076883426	-2.698501823665564	-61.964604999484536	0.32970001147343564	0.46811178153786825	0.8048867209111468	0.38461538461538464	Launched	vitamin D receptor agonist	VDR	endocrinology|orthopedics	hypocalcemia|hypoparathyroidism|osteoporosis	Broad Repurposing Hub	
BRD-A36318220	necrostatin-1	13	5	4	-0.7130711991384909	-0.5620387830778074	-9.269925588800382	-4.8264465523573605	-2.4032620299355005	-62.74380518064569	0.7262730781848614	0.46811178153786825	0.8048867209111468	0.38461538461538464	Preclinical	RIPK inhibitor	RIPK1	not annotated		Broad Repurposing Hub	
BRD-K60623809	SU-11652	13	6	6	-0.5948830212799028	-1.011358154819462	-7.733479276638737	-4.9418908655167595	-6.086541626895263	-64.24458125171788	-0.3265922780220324	0.46811178153786825	0.8048867209111468	0.46153846153846156	Preclinical/tool	multi-kinase inhibitor	VEGFR/PDGFR/KIT-family kinases	oncology/angiogenesis		manual: chemical biology annotation	Strong pushes are offset by weighted opposing genes.
BRD-K51575138	TPCA-1	13	3	3	-0.858385983724816	-1.1705196531099877	-11.159017788422608	-5.238075851007283	-4.614230724678746	-68.09498606309468	0.298530800984456	0.46811178153786825	0.8048867209111468	0.23076923076923078	Preclinical	IKK inhibitor	IKBKB	not annotated		Broad Repurposing Hub	
