pert_id	pert_iname	gene_name	mean_z	median_z	n_signatures	protective_expression_direction	protective_direction_label	max_h4	mean_h4	n_coloc	total_weight	max_gwas_z_abs	mr_ivw_beta	mr_ivw_se	mr_ivw_p	protective_push_z	weighted_protective_push	pushes_protective	strong_push	opposes_protective	gene_weight_fraction
BRD-K03618428	PP-110	CASS4	1.1825499534606934	1.1825499534606934	1	-1.0	decrease	0.983409927	0.97844285	2	2.0	6.8278888888888885	0.8164001879109127	0.1148251666029847	1.1609236659320596e-12	-1.1825499534606934	-2.3650999069213867	False	False	True	0.08333333333333333
BRD-K30677119	PP-30	CTSH	0.9186457395553588	0.9186457395553588	1	1.0	increase	0.979826373	0.954322996	2	2.0	5.595764705882353	-0.6531917505468305	0.1164129687449566	2.0117491756135243e-08	0.9186457395553588	1.8372914791107176	True	False	False	0.08333333333333333
BRD-K30677119	PP-30	GSTK1	0.5667474269866943	0.5667474269866943	1	1.0	increase	0.857402737	0.857402737	1	1.0	5.481558935361216	-0.4262663954299771	0.1026084942460725	3.262858661820401e-05	0.5667474269866943	0.5667474269866943	True	False	False	0.041666666666666664
BRD-K30677119	PP-30	CASS4	-0.4445634186267853	-0.4445634186267853	1	-1.0	decrease	0.983409927	0.97844285	2	2.0	6.8278888888888885	0.8164001879109127	0.1148251666029847	1.1609236659320596e-12	0.4445634186267853	0.8891268372535706	True	False	False	0.08333333333333333
BRD-K30677119	PP-30	EPHA1	0.3341647386550903	0.3341647386550903	1	1.0	increase	0.857755717	0.857755717	1	1.0	3.7814961832061065	-0.277405633275953	0.118801038386382	0.019541130467517	0.3341647386550903	0.3341647386550903	True	False	False	0.041666666666666664
BRD-K30677119	PP-30	CASP2	-0.2157143652439117	-0.2157143652439117	1	-1.0	decrease	0.980530944	0.928077414	2	2.0	4.934071661237785	1.0	0.2237099077513556	7.819228086089452e-06	0.2157143652439117	0.4314287304878234	True	False	False	0.08333333333333333
BRD-K30677119	PP-30	RHOH	-0.0358482897281646	-0.0358482897281646	1	-1.0	decrease	0.872358023	0.872358023	1	1.0	4.324598917846089	0.7979161671425768	0.2544505355019307	0.001713626659781	0.0358482897281646	0.0358482897281646	True	False	False	0.041666666666666664
BRD-K30677119	PP-30	USP6NL	-0.0048816725611686	-0.0048816725611686	1	-1.0	decrease	0.986739805	0.984928451	2	2.0	5.991691842900303	0.9291301181013883	0.1499155980473011	5.72985423972819e-10	0.0048816725611686	0.0097633451223372	True	False	False	0.08333333333333333
BRD-K30677119	PP-30	PSMC3	-0.0064908266067504	-0.0064908266067504	1	1.0	increase	0.827476962	0.827476962	1	1.0	2.202657142857143	-0.6192485162211612	0.3088438194030099	0.0449572810782776	-0.0064908266067504	-0.0064908266067504	False	False	True	0.041666666666666664
BRD-K30677119	PP-30	ZYX	0.0328603088855743	0.0328603088855743	1	-1.0	decrease	0.999998542	0.9999970725	2	2.0	6.876576576576576	0.8048867209111468	0.1104578798294652	3.173557474406893e-13	-0.0328603088855743	-0.0657206177711486	False	False	True	0.08333333333333333
BRD-K30677119	PP-30	RABEP1	0.1992477476596832	0.1992477476596832	1	-1.0	decrease	0.971720589	0.906779892	2	2.0	5.771982942430704	0.7555586841493029	0.1376531430306971	4.045385255710982e-08	-0.1992477476596832	-0.3984954953193664	False	False	True	0.08333333333333333
BRD-K30677119	PP-30	PICALM	0.3486731648445129	0.3486731648445129	1	-1.0	decrease	0.941694681	0.929841757	2	2.0	4.090147208121828	0.9858096206963995	0.2421713500298872	4.686983137973752e-05	-0.3486731648445129	-0.6973463296890258	False	False	True	0.08333333333333333
BRD-K30677119	PP-30	PLEKHA1	0.4313170313835144	0.4313170313835144	1	-1.0	decrease	0.973750604	0.9736530115	2	2.0	8.013560830860534	0.9718639565544818	0.121077829830582	1.0007201221865392e-15	-0.4313170313835144	-0.8626340627670288	False	False	True	0.08333333333333333
BRD-K30677119	PP-30	BIN1	0.536567211151123	0.536567211151123	1	-1.0	decrease	0.999914292	0.9982065285	4	4.0	5.939106382978723	1.0	0.1285664880564894	7.363544666516711e-15	-0.536567211151123	-2.146268844604492	False	False	True	0.16666666666666666
BRD-K15318909	PRIMA1	ZYX	-3.3565499782562256	-3.3565499782562256	1	-1.0	decrease	0.999998542	0.9999970725	2	2.0	6.876576576576576	0.8048867209111468	0.1104578798294652	3.173557474406893e-13	3.3565499782562256	6.713099956512451	True	True	False	0.08333333333333333
BRD-K15318909	PRIMA1	PICALM	-2.878700017929077	-2.878700017929077	1	-1.0	decrease	0.941694681	0.929841757	2	2.0	4.090147208121828	0.9858096206963995	0.2421713500298872	4.686983137973752e-05	2.878700017929077	5.757400035858154	True	True	False	0.08333333333333333
BRD-K15318909	PRIMA1	PLEKHA1	-2.3956499099731445	-2.3956499099731445	1	-1.0	decrease	0.973750604	0.9736530115	2	2.0	8.013560830860534	0.9718639565544818	0.121077829830582	1.0007201221865392e-15	2.3956499099731445	4.791299819946289	True	True	False	0.08333333333333333
BRD-K15318909	PRIMA1	EPHA1	1.8957500457763672	1.8957500457763672	1	1.0	increase	0.857755717	0.857755717	1	1.0	3.7814961832061065	-0.277405633275953	0.118801038386382	0.019541130467517	1.8957500457763672	1.8957500457763672	True	True	False	0.041666666666666664
BRD-K15318909	PRIMA1	BIN1	0.5558499693870544	0.5558499693870544	1	-1.0	decrease	0.999914292	0.9982065285	4	4.0	5.939106382978723	1.0	0.1285664880564894	7.363544666516711e-15	-0.5558499693870544	-2.2233998775482178	False	False	True	0.16666666666666666
BRD-K15318909	PRIMA1	RABEP1	1.0918999910354614	1.0918999910354614	1	-1.0	decrease	0.971720589	0.906779892	2	2.0	5.771982942430704	0.7555586841493029	0.1376531430306971	4.045385255710982e-08	-1.0918999910354614	-2.183799982070923	False	False	True	0.08333333333333333
BRD-K15318909	PRIMA1	CTSH	-1.8705499172210691	-1.8705499172210691	1	1.0	increase	0.979826373	0.954322996	2	2.0	5.595764705882353	-0.6531917505468305	0.1164129687449566	2.0117491756135243e-08	-1.8705499172210691	-3.7410998344421382	False	False	True	0.08333333333333333
BRD-K15318909	PRIMA1	GSTK1	-2.2039999961853027	-2.2039999961853027	1	1.0	increase	0.857402737	0.857402737	1	1.0	5.481558935361216	-0.4262663954299771	0.1026084942460725	3.262858661820401e-05	-2.2039999961853027	-2.2039999961853027	False	False	True	0.041666666666666664
BRD-K15318909	PRIMA1	PSMC3	-3.4821999073028564	-3.4821999073028564	1	1.0	increase	0.827476962	0.827476962	1	1.0	2.202657142857143	-0.6192485162211612	0.3088438194030099	0.0449572810782776	-3.4821999073028564	-3.4821999073028564	False	False	True	0.041666666666666664
BRD-K15318909	PRIMA1	CASP2	4.786149978637695	4.786149978637695	1	-1.0	decrease	0.980530944	0.928077414	2	2.0	4.934071661237785	1.0	0.2237099077513556	7.819228086089452e-06	-4.786149978637695	-9.57229995727539	False	False	True	0.08333333333333333
BRD-K15318909	PRIMA1	CASS4	4.947649955749512	4.947649955749512	1	-1.0	decrease	0.983409927	0.97844285	2	2.0	6.8278888888888885	0.8164001879109127	0.1148251666029847	1.1609236659320596e-12	-4.947649955749512	-9.895299911499023	False	False	True	0.08333333333333333
BRD-K15318909	PRIMA1	RHOH	5.105299949645996	5.105299949645996	1	-1.0	decrease	0.872358023	0.872358023	1	1.0	4.324598917846089	0.7979161671425768	0.2544505355019307	0.001713626659781	-5.105299949645996	-5.105299949645996	False	False	True	0.041666666666666664
BRD-K15318909	PRIMA1	USP6NL	5.400650024414063	5.400650024414063	1	-1.0	decrease	0.986739805	0.984928451	2	2.0	5.991691842900303	0.9291301181013883	0.1499155980473011	5.72985423972819e-10	-5.400650024414063	-10.801300048828127	False	False	True	0.08333333333333333
BRD-K09907482	PRL-3-inhibitor-I	RHOH	-1.2098499536514282	-1.2098499536514282	1	-1.0	decrease	0.872358023	0.872358023	1	1.0	4.324598917846089	0.7979161671425768	0.2544505355019307	0.001713626659781	1.2098499536514282	1.2098499536514282	True	True	False	0.041666666666666664
BRD-K09907482	PRL-3-inhibitor-I	PSMC3	0.6313999891281128	0.6313999891281128	1	1.0	increase	0.827476962	0.827476962	1	1.0	2.202657142857143	-0.6192485162211612	0.3088438194030099	0.0449572810782776	0.6313999891281128	0.6313999891281128	True	False	False	0.041666666666666664
BRD-K09907482	PRL-3-inhibitor-I	BIN1	-0.5205000042915344	-0.5205000042915344	1	-1.0	decrease	0.999914292	0.9982065285	4	4.0	5.939106382978723	1.0	0.1285664880564894	7.363544666516711e-15	0.5205000042915344	2.0820000171661377	True	False	False	0.16666666666666666
BRD-K09907482	PRL-3-inhibitor-I	PLEKHA1	-0.4143000245094299	-0.4143000245094299	1	-1.0	decrease	0.973750604	0.9736530115	2	2.0	8.013560830860534	0.9718639565544818	0.121077829830582	1.0007201221865392e-15	0.4143000245094299	0.8286000490188598	True	False	False	0.08333333333333333
BRD-K09907482	PRL-3-inhibitor-I	ZYX	-0.284850001335144	-0.284850001335144	1	-1.0	decrease	0.999998542	0.9999970725	2	2.0	6.876576576576576	0.8048867209111468	0.1104578798294652	3.173557474406893e-13	0.284850001335144	0.569700002670288	True	False	False	0.08333333333333333
BRD-K09907482	PRL-3-inhibitor-I	RABEP1	-0.2597500085830688	-0.2597500085830688	1	-1.0	decrease	0.971720589	0.906779892	2	2.0	5.771982942430704	0.7555586841493029	0.1376531430306971	4.045385255710982e-08	0.2597500085830688	0.5195000171661376	True	False	False	0.08333333333333333
BRD-K09907482	PRL-3-inhibitor-I	GSTK1	0.2091500014066696	0.2091500014066696	1	1.0	increase	0.857402737	0.857402737	1	1.0	5.481558935361216	-0.4262663954299771	0.1026084942460725	3.262858661820401e-05	0.2091500014066696	0.2091500014066696	True	False	False	0.041666666666666664
BRD-K09907482	PRL-3-inhibitor-I	CTSH	0.1087500154972076	0.1087500154972076	1	1.0	increase	0.979826373	0.954322996	2	2.0	5.595764705882353	-0.6531917505468305	0.1164129687449566	2.0117491756135243e-08	0.1087500154972076	0.2175000309944152	True	False	False	0.08333333333333333
BRD-K09907482	PRL-3-inhibitor-I	CASS4	-0.0687499940395355	-0.0687499940395355	1	-1.0	decrease	0.983409927	0.97844285	2	2.0	6.8278888888888885	0.8164001879109127	0.1148251666029847	1.1609236659320596e-12	0.0687499940395355	0.137499988079071	True	False	False	0.08333333333333333
BRD-K09907482	PRL-3-inhibitor-I	CASP2	0.1212000027298927	0.1212000027298927	1	-1.0	decrease	0.980530944	0.928077414	2	2.0	4.934071661237785	1.0	0.2237099077513556	7.819228086089452e-06	-0.1212000027298927	-0.2424000054597854	False	False	True	0.08333333333333333
BRD-K09907482	PRL-3-inhibitor-I	PICALM	0.1397999972105026	0.1397999972105026	1	-1.0	decrease	0.941694681	0.929841757	2	2.0	4.090147208121828	0.9858096206963995	0.2421713500298872	4.686983137973752e-05	-0.1397999972105026	-0.2795999944210052	False	False	True	0.08333333333333333
BRD-K09907482	PRL-3-inhibitor-I	EPHA1	-0.1502500027418136	-0.1502500027418136	1	1.0	increase	0.857755717	0.857755717	1	1.0	3.7814961832061065	-0.277405633275953	0.118801038386382	0.019541130467517	-0.1502500027418136	-0.1502500027418136	False	False	True	0.041666666666666664
BRD-K09907482	PRL-3-inhibitor-I	USP6NL	0.405949980020523	0.405949980020523	1	-1.0	decrease	0.986739805	0.984928451	2	2.0	5.991691842900303	0.9291301181013883	0.1499155980473011	5.72985423972819e-10	-0.405949980020523	-0.811899960041046	False	False	True	0.08333333333333333
BRD-A73680854	PT-630	RHOH	-1.2867000102996826	-1.2867000102996826	1	-1.0	decrease	0.872358023	0.872358023	1	1.0	4.324598917846089	0.7979161671425768	0.2544505355019307	0.001713626659781	1.2867000102996826	1.2867000102996826	True	True	False	0.041666666666666664
BRD-A73680854	PT-630	CASS4	-1.0084999799728394	-1.0084999799728394	1	-1.0	decrease	0.983409927	0.97844285	2	2.0	6.8278888888888885	0.8164001879109127	0.1148251666029847	1.1609236659320596e-12	1.0084999799728394	2.0169999599456787	True	True	False	0.08333333333333333
BRD-A73680854	PT-630	ZYX	-1.0023000240325928	-1.0023000240325928	1	-1.0	decrease	0.999998542	0.9999970725	2	2.0	6.876576576576576	0.8048867209111468	0.1104578798294652	3.173557474406893e-13	1.0023000240325928	2.0046000480651855	True	True	False	0.08333333333333333
BRD-A73680854	PT-630	PICALM	-0.6037499904632568	-0.6037499904632568	1	-1.0	decrease	0.941694681	0.929841757	2	2.0	4.090147208121828	0.9858096206963995	0.2421713500298872	4.686983137973752e-05	0.6037499904632568	1.2074999809265137	True	False	False	0.08333333333333333
BRD-A73680854	PT-630	BIN1	-0.2586499750614166	-0.2586499750614166	1	-1.0	decrease	0.999914292	0.9982065285	4	4.0	5.939106382978723	1.0	0.1285664880564894	7.363544666516711e-15	0.2586499750614166	1.0345999002456665	True	False	False	0.16666666666666666
BRD-A73680854	PT-630	GSTK1	0.1724999845027923	0.1724999845027923	1	1.0	increase	0.857402737	0.857402737	1	1.0	5.481558935361216	-0.4262663954299771	0.1026084942460725	3.262858661820401e-05	0.1724999845027923	0.1724999845027923	True	False	False	0.041666666666666664
BRD-A73680854	PT-630	RABEP1	-0.0380499958992004	-0.0380499958992004	1	-1.0	decrease	0.971720589	0.906779892	2	2.0	5.771982942430704	0.7555586841493029	0.1376531430306971	4.045385255710982e-08	0.0380499958992004	0.0760999917984008	True	False	False	0.08333333333333333
BRD-A73680854	PT-630	PLEKHA1	0.166049987077713	0.166049987077713	1	-1.0	decrease	0.973750604	0.9736530115	2	2.0	8.013560830860534	0.9718639565544818	0.121077829830582	1.0007201221865392e-15	-0.166049987077713	-0.332099974155426	False	False	True	0.08333333333333333
BRD-A73680854	PT-630	PSMC3	-0.249750018119812	-0.249750018119812	1	1.0	increase	0.827476962	0.827476962	1	1.0	2.202657142857143	-0.6192485162211612	0.3088438194030099	0.0449572810782776	-0.249750018119812	-0.249750018119812	False	False	True	0.041666666666666664
BRD-A73680854	PT-630	EPHA1	-0.4916000068187713	-0.4916000068187713	1	1.0	increase	0.857755717	0.857755717	1	1.0	3.7814961832061065	-0.277405633275953	0.118801038386382	0.019541130467517	-0.4916000068187713	-0.4916000068187713	False	False	True	0.041666666666666664
BRD-A73680854	PT-630	USP6NL	0.62090003490448	0.62090003490448	1	-1.0	decrease	0.986739805	0.984928451	2	2.0	5.991691842900303	0.9291301181013883	0.1499155980473011	5.72985423972819e-10	-0.62090003490448	-1.24180006980896	False	False	True	0.08333333333333333
BRD-A73680854	PT-630	CTSH	-0.6703500151634216	-0.6703500151634216	1	1.0	increase	0.979826373	0.954322996	2	2.0	5.595764705882353	-0.6531917505468305	0.1164129687449566	2.0117491756135243e-08	-0.6703500151634216	-1.3407000303268433	False	False	True	0.08333333333333333
BRD-A73680854	PT-630	CASP2	0.8464999794960022	0.8464999794960022	1	-1.0	decrease	0.980530944	0.928077414	2	2.0	4.934071661237785	1.0	0.2237099077513556	7.819228086089452e-06	-0.8464999794960022	-1.6929999589920044	False	False	True	0.08333333333333333
BRD-K16554956	PTB1	ZYX	-4.086338043212891	-4.086338043212891	1	-1.0	decrease	0.999998542	0.9999970725	2	2.0	6.876576576576576	0.8048867209111468	0.1104578798294652	3.173557474406893e-13	4.086338043212891	8.172676086425781	True	True	False	0.08333333333333333
BRD-K16554956	PTB1	EPHA1	3.344345092773437	3.344345092773437	1	1.0	increase	0.857755717	0.857755717	1	1.0	3.7814961832061065	-0.277405633275953	0.118801038386382	0.019541130467517	3.344345092773437	3.344345092773437	True	True	False	0.041666666666666664
BRD-K16554956	PTB1	PLEKHA1	-1.1671967506408691	-1.1671967506408691	1	-1.0	decrease	0.973750604	0.9736530115	2	2.0	8.013560830860534	0.9718639565544818	0.121077829830582	1.0007201221865392e-15	1.1671967506408691	2.3343935012817383	True	True	False	0.08333333333333333
BRD-K16554956	PTB1	RHOH	-0.8206315636634827	-0.8206315636634827	1	-1.0	decrease	0.872358023	0.872358023	1	1.0	4.324598917846089	0.7979161671425768	0.2544505355019307	0.001713626659781	0.8206315636634827	0.8206315636634827	True	False	False	0.041666666666666664
BRD-K16554956	PTB1	PSMC3	-0.2142330110073089	-0.2142330110073089	1	1.0	increase	0.827476962	0.827476962	1	1.0	2.202657142857143	-0.6192485162211612	0.3088438194030099	0.0449572810782776	-0.2142330110073089	-0.2142330110073089	False	False	True	0.041666666666666664
BRD-K16554956	PTB1	CTSH	-0.292735755443573	-0.292735755443573	1	1.0	increase	0.979826373	0.954322996	2	2.0	5.595764705882353	-0.6531917505468305	0.1164129687449566	2.0117491756135243e-08	-0.292735755443573	-0.585471510887146	False	False	True	0.08333333333333333
BRD-K16554956	PTB1	PICALM	1.1909267902374268	1.1909267902374268	1	-1.0	decrease	0.941694681	0.929841757	2	2.0	4.090147208121828	0.9858096206963995	0.2421713500298872	4.686983137973752e-05	-1.1909267902374268	-2.3818535804748535	False	False	True	0.08333333333333333
BRD-K16554956	PTB1	BIN1	2.820871591567993	2.820871591567993	1	-1.0	decrease	0.999914292	0.9982065285	4	4.0	5.939106382978723	1.0	0.1285664880564894	7.363544666516711e-15	-2.820871591567993	-11.283486366271973	False	False	True	0.16666666666666666
BRD-K16554956	PTB1	CASP2	2.83626651763916	2.83626651763916	1	-1.0	decrease	0.980530944	0.928077414	2	2.0	4.934071661237785	1.0	0.2237099077513556	7.819228086089452e-06	-2.83626651763916	-5.67253303527832	False	False	True	0.08333333333333333
BRD-K16554956	PTB1	CASS4	3.99385929107666	3.99385929107666	1	-1.0	decrease	0.983409927	0.97844285	2	2.0	6.8278888888888885	0.8164001879109127	0.1148251666029847	1.1609236659320596e-12	-3.99385929107666	-7.98771858215332	False	False	True	0.08333333333333333
BRD-K16554956	PTB1	GSTK1	-4.768183708190918	-4.768183708190918	1	1.0	increase	0.857402737	0.857402737	1	1.0	5.481558935361216	-0.4262663954299771	0.1026084942460725	3.262858661820401e-05	-4.768183708190918	-4.768183708190918	False	False	True	0.041666666666666664
BRD-K16554956	PTB1	USP6NL	5.156688690185547	5.156688690185547	1	-1.0	decrease	0.986739805	0.984928451	2	2.0	5.991691842900303	0.9291301181013883	0.1499155980473011	5.72985423972819e-10	-5.156688690185547	-10.313377380371094	False	False	True	0.08333333333333333
BRD-K16554956	PTB1	RABEP1	5.903255462646484	5.903255462646484	1	-1.0	decrease	0.971720589	0.906779892	2	2.0	5.771982942430704	0.7555586841493029	0.1376531430306971	4.045385255710982e-08	-5.903255462646484	-11.806510925292969	False	False	True	0.08333333333333333
BRD-A56592690	PX-12	USP6NL	-1.3360215425491333	-1.3360215425491333	1	-1.0	decrease	0.986739805	0.984928451	2	2.0	5.991691842900303	0.9291301181013883	0.1499155980473011	5.72985423972819e-10	1.3360215425491333	2.6720430850982666	True	True	False	0.08333333333333333
BRD-A56592690	PX-12	RABEP1	-0.5506680011749268	-0.5506680011749268	1	-1.0	decrease	0.971720589	0.906779892	2	2.0	5.771982942430704	0.7555586841493029	0.1376531430306971	4.045385255710982e-08	0.5506680011749268	1.1013360023498535	True	False	False	0.08333333333333333
BRD-A56592690	PX-12	PSMC3	0.4215249717235565	0.4215249717235565	1	1.0	increase	0.827476962	0.827476962	1	1.0	2.202657142857143	-0.6192485162211612	0.3088438194030099	0.0449572810782776	0.4215249717235565	0.4215249717235565	True	False	False	0.041666666666666664
BRD-A56592690	PX-12	GSTK1	0.1825356036424636	0.1825356036424636	1	1.0	increase	0.857402737	0.857402737	1	1.0	5.481558935361216	-0.4262663954299771	0.1026084942460725	3.262858661820401e-05	0.1825356036424636	0.1825356036424636	True	False	False	0.041666666666666664
BRD-A56592690	PX-12	BIN1	-0.1203238368034362	-0.1203238368034362	1	-1.0	decrease	0.999914292	0.9982065285	4	4.0	5.939106382978723	1.0	0.1285664880564894	7.363544666516711e-15	0.1203238368034362	0.4812953472137448	True	False	False	0.16666666666666666
BRD-A56592690	PX-12	PLEKHA1	-0.0993774682283401	-0.0993774682283401	1	-1.0	decrease	0.973750604	0.9736530115	2	2.0	8.013560830860534	0.9718639565544818	0.121077829830582	1.0007201221865392e-15	0.0993774682283401	0.1987549364566802	True	False	False	0.08333333333333333
BRD-A56592690	PX-12	CASP2	0.3106642961502075	0.3106642961502075	1	-1.0	decrease	0.980530944	0.928077414	2	2.0	4.934071661237785	1.0	0.2237099077513556	7.819228086089452e-06	-0.3106642961502075	-0.621328592300415	False	False	True	0.08333333333333333
