pert_id	pert_iname	gene_name	mean_z	median_z	n_signatures
BRD-K88510285	bortezomib	ZYX	-0.0355701438825706	0.010350018739700317	29
BRD-K74763371	bosentan	BIN1	-0.6946416765761873	-0.616225004196167	12
BRD-K74763371	bosentan	CASP2	-0.26864999781052273	-0.41382500529289246	12
BRD-K74763371	bosentan	CASS4	0.21885417650143305	0.22030000388622284	12
BRD-K74763371	bosentan	CTSH	0.5476374936600527	0.6750749945640564	12
BRD-K74763371	bosentan	EPHA1	0.2532333458463351	0.17692500352859497	12
BRD-K74763371	bosentan	GSTK1	-0.1028541773557663	0.1545250043272972	12
BRD-K74763371	bosentan	PICALM	-0.10574166849255562	-0.16372501105070114	12
BRD-K74763371	bosentan	PLEKHA1	-0.1747375006477038	-0.17937499284744263	12
BRD-K74763371	bosentan	PSMC3	0.4115541875362396	0.2178249955177307	12
BRD-K74763371	bosentan	RABEP1	0.11198749269048373	-0.08537502586841583	12
BRD-K74763371	bosentan	RHOH	-0.34728751704096794	-0.2661750018596649	12
BRD-K74763371	bosentan	USP6NL	-0.4734208310643832	-0.4677499979734421	12
BRD-K74763371	bosentan	ZYX	0.16737499088048935	0.2952500134706497	12
BRD-K99964838	bosutinib	BIN1	0.16153953007111946	0.2802003175020218	24
BRD-K99964838	bosutinib	CASP2	-0.12208874958256881	-0.26707983016967773	24
BRD-K99964838	bosutinib	CASS4	0.23331038653850555	-0.07088113203644753	24
BRD-K99964838	bosutinib	CTSH	0.1996940008054177	0.27739422023296356	24
BRD-K99964838	bosutinib	EPHA1	0.2532055201785018	0.3277573511004448	24
BRD-K99964838	bosutinib	GSTK1	0.14413176119948426	0.07390712201595306	24
BRD-K99964838	bosutinib	PICALM	0.08148290294532974	0.1207248643040657	24
BRD-K99964838	bosutinib	PLEKHA1	0.21242919191718102	0.09290316700935364	24
BRD-K99964838	bosutinib	PSMC3	0.005806604245056708	-0.05567716248333454	24
BRD-K99964838	bosutinib	RABEP1	-0.21662121972379586	-0.26514721661806107	24
BRD-K99964838	bosutinib	RHOH	-0.002759817677239577	0.05450759455561638	24
BRD-K99964838	bosutinib	USP6NL	-0.34654930722899735	-0.11543305963277817	24
BRD-K99964838	bosutinib	ZYX	0.44917544024065137	0.08512743562459946	24
BRD-A31107743	brefeldin-a	BIN1	-0.1310499906539917	-0.1310499906539917	1
BRD-A31107743	brefeldin-a	CASP2	0.39955002069473267	0.39955002069473267	1
BRD-A31107743	brefeldin-a	CASS4	-0.08140000700950623	-0.08140000700950623	1
BRD-A31107743	brefeldin-a	CTSH	0.4772000014781952	0.4772000014781952	1
BRD-A31107743	brefeldin-a	EPHA1	0.3708000183105469	0.3708000183105469	1
BRD-A31107743	brefeldin-a	GSTK1	1.3826500177383423	1.3826500177383423	1
BRD-A31107743	brefeldin-a	PICALM	-0.8972499966621399	-0.8972499966621399	1
BRD-A31107743	brefeldin-a	PLEKHA1	0.03695002198219299	0.03695002198219299	1
BRD-A31107743	brefeldin-a	PSMC3	-1.1750500202178955	-1.1750500202178955	1
BRD-A31107743	brefeldin-a	RABEP1	0.11100000143051147	0.11100000143051147	1
BRD-A31107743	brefeldin-a	RHOH	-1.236899971961975	-1.236899971961975	1
BRD-A31107743	brefeldin-a	USP6NL	-0.33754998445510864	-0.33754998445510864	1
BRD-A31107743	brefeldin-a	ZYX	0.5969000458717346	0.5969000458717346	1
BRD-K96123349	brequinar	BIN1	0.3319125063717365	0.4525499939918518	12
BRD-K96123349	brequinar	CASP2	0.6514291614294052	0.8091749846935272	12
BRD-K96123349	brequinar	CASS4	-0.17970416198174158	-0.23134999722242355	12
BRD-K96123349	brequinar	CTSH	-0.5169833538432916	-0.7681499719619751	12
BRD-K96123349	brequinar	EPHA1	0.11904582505424817	0.025600001215934753	12
BRD-K96123349	brequinar	GSTK1	-0.9289666675031185	-1.101900041103363	12
BRD-K96123349	brequinar	PICALM	-0.642020837093393	-0.6682500243186951	12
BRD-K96123349	brequinar	PLEKHA1	1.7547583365812898	1.1830499768257141	12
BRD-K96123349	brequinar	PSMC3	1.2313083683451016	1.0834250152111053	12
BRD-K96123349	brequinar	RABEP1	-1.3496125390132268	-1.1781750321388245	12
BRD-K96123349	brequinar	RHOH	0.25477082716921967	0.4625999927520752	12
BRD-K96123349	brequinar	USP6NL	-1.771733318765958	-1.7014249563217163	12
BRD-K96123349	brequinar	ZYX	-0.02879166944573323	0.05617498606443405	12
BRD-K96936751	bretazenil	BIN1	-0.791291649453342	-0.7000499963760376	12
BRD-K96936751	bretazenil	CASP2	0.6855208327372869	0.7947750091552734	12
BRD-K96936751	bretazenil	CASS4	0.1613041634360949	0.18242500722408295	12
BRD-K96936751	bretazenil	CTSH	0.16449583088979125	0.10350000113248825	12
BRD-K96936751	bretazenil	EPHA1	-0.23486250018080077	-0.24424999207258224	12
BRD-K96936751	bretazenil	GSTK1	0.2190791741013527	0.208600003272295	12
BRD-K96936751	bretazenil	PICALM	0.0786999948322773	0.1375499963760376	12
BRD-K96936751	bretazenil	PLEKHA1	-0.3417666806684186	-0.11525001376867294	12
BRD-K96936751	bretazenil	PSMC3	-0.20402917017539343	-0.20740002393722534	12
BRD-K96936751	bretazenil	RABEP1	0.01208749661842982	0.015200003981590271	12
BRD-K96936751	bretazenil	RHOH	0.460183322429657	0.1885249987244606	12
BRD-K96936751	bretazenil	USP6NL	0.32444999320432544	0.2913499930873513	12
BRD-K96936751	bretazenil	ZYX	-0.07723333562413852	-0.3116999939084053	12
BRD-K00911143	brexpiprazole	BIN1	-0.1133875052134196	-0.125711128115654	6
BRD-K00911143	brexpiprazole	CASP2	-0.13123765091101328	-0.4247949570417404	6
BRD-K00911143	brexpiprazole	CASS4	-0.4294493446747462	-0.4993942975997925	6
BRD-K00911143	brexpiprazole	CTSH	0.30734648555517197	0.37065497785806656	6
BRD-K00911143	brexpiprazole	EPHA1	-0.7089071671168009	-0.8148802220821381	6
BRD-K00911143	brexpiprazole	GSTK1	-0.3958486095070839	-0.34718509018421173	6
BRD-K00911143	brexpiprazole	PICALM	0.37933685382207233	0.5663867890834808	6
BRD-K00911143	brexpiprazole	PLEKHA1	-0.23764249806602797	-0.023718588054180145	6
BRD-K00911143	brexpiprazole	PSMC3	-0.16334506620963415	-0.18454991281032562	6
BRD-K00911143	brexpiprazole	RABEP1	0.15615657841165861	0.13499635830521584	6
BRD-K00911143	brexpiprazole	RHOH	-0.7880144541462263	-0.7606877386569977	6
BRD-K00911143	brexpiprazole	USP6NL	1.1029935975869496	0.20099210739135742	6
BRD-K00911143	brexpiprazole	ZYX	-0.2983807648221652	0.06374247372150421	6
BRD-K28428262	brivanib	BIN1	-0.16076666613419852	0.013500005006790161	12
BRD-K28428262	brivanib	CASP2	0.11082084104418755	0.18502499163150787	12
BRD-K28428262	brivanib	CASS4	0.02369999885559082	0.016699999570846558	12
BRD-K28428262	brivanib	CTSH	0.28777917350331944	0.044524990022182465	12
BRD-K28428262	brivanib	EPHA1	-0.054945834601918854	-0.028349995613098145	12
BRD-K28428262	brivanib	GSTK1	0.05384168090919653	0.0949999988079071	12
BRD-K28428262	brivanib	PICALM	0.14842499668399492	-0.0625	12
BRD-K28428262	brivanib	PLEKHA1	-0.009133336444695791	-0.10912500321865082	12
BRD-K28428262	brivanib	PSMC3	-0.1693750061094761	-0.06984999403357506	12
BRD-K28428262	brivanib	RABEP1	0.30842499310771626	0.12262499332427979	12
BRD-K28428262	brivanib	RHOH	-0.09637917081514995	-0.03867499530315399	12
BRD-K28428262	brivanib	USP6NL	0.04803332934776942	0.04414999485015869	12
BRD-K28428262	brivanib	ZYX	-0.04562917227546374	0.12604999542236328	12
BRD-A63675168	brivudine	BIN1	0.08788333212335904	0.02512500435113907	12
BRD-A63675168	brivudine	CASP2	0.22546249876419702	0.437624990940094	12
BRD-A63675168	brivudine	CASS4	0.022458329796791077	0.2510000169277191	12
BRD-A63675168	brivudine	CTSH	-0.24258749932050705	-0.3299249857664108	12
BRD-A63675168	brivudine	EPHA1	0.15840416199838123	-0.02067499700933695	12
BRD-A63675168	brivudine	GSTK1	-0.1969250018397967	-0.24952499568462372	12
BRD-A63675168	brivudine	PICALM	0.3672166665395101	0.3039500117301941	12
BRD-A63675168	brivudine	PLEKHA1	0.011841679612795511	-0.0547499880194664	12
BRD-A63675168	brivudine	PSMC3	-0.02130000169078509	0.10904999077320099	12
BRD-A63675168	brivudine	RABEP1	-0.14122915516297022	-0.1576249897480011	12
BRD-A63675168	brivudine	RHOH	-0.03372916330893835	0.023800000548362732	12
BRD-A63675168	brivudine	USP6NL	1.109720803797245	-0.5063750296831131	12
BRD-A63675168	brivudine	ZYX	-0.43634582427330315	-0.5541249960660934	12
BRD-A80151636	bromocriptine	BIN1	0.3621249894301097	0.423799991607666	12
BRD-A80151636	bromocriptine	CASP2	0.22677081574996313	-0.06459999084472656	12
BRD-A80151636	bromocriptine	CASS4	0.5511625049014887	0.2679999768733978	12
BRD-A80151636	bromocriptine	CTSH	-0.142429169267416	-0.004224993288516998	12
BRD-A80151636	bromocriptine	EPHA1	0.4078083361188571	0.3912999927997589	12
BRD-A80151636	bromocriptine	GSTK1	-0.1566291836400827	-0.213375024497509	12
BRD-A80151636	bromocriptine	PICALM	-0.03631668041149775	-0.20122500509023666	12
BRD-A80151636	bromocriptine	PLEKHA1	-0.4755416518698136	-0.5681749880313873	12
BRD-A80151636	bromocriptine	PSMC3	-0.16154583046833673	-0.05824999511241913	12
BRD-A80151636	bromocriptine	RABEP1	0.49004166076580685	0.4317000210285187	12
BRD-A80151636	bromocriptine	RHOH	-0.10400417695442836	-0.2879500016570091	12
BRD-A80151636	bromocriptine	USP6NL	0.08331667507688205	-0.06537499278783798	12
BRD-A80151636	bromocriptine	ZYX	-0.6006083389123281	-0.4613500088453293	12
BRD-K79095980	broxuridine	BIN1	0.23320461188753447	0.45468565821647644	12
BRD-K79095980	broxuridine	CASP2	0.08193066716194153	0.12818463146686554	12
BRD-K79095980	broxuridine	CASS4	0.12053644005209208	0.01501546986401081	12
BRD-K79095980	broxuridine	CTSH	-0.03986546335120996	0.08548680320382118	12
BRD-K79095980	broxuridine	EPHA1	-0.1614597737789154	-0.08620001375675201	12
BRD-K79095980	broxuridine	GSTK1	-0.06115726878245672	0.04675024747848511	12
BRD-K79095980	broxuridine	PICALM	0.0903590979675452	0.20684702694416046	12
BRD-K79095980	broxuridine	PLEKHA1	-0.02253754809498787	0.005440503358840942	12
BRD-K79095980	broxuridine	PSMC3	-0.0721021369099617	0.0579196959733963	12
BRD-K79095980	broxuridine	RABEP1	-0.0837245707710584	-0.16761751472949982	12
BRD-K79095980	broxuridine	RHOH	0.344242583339413	0.3708406984806061	12
BRD-K79095980	broxuridine	USP6NL	0.07298312491426866	-0.009474994614720345	12
BRD-K79095980	broxuridine	ZYX	-0.2860407916208108	-0.24858126789331436	12
BRD-A36057565	bruceantin	BIN1	-0.3194124698638916	-0.1990249752998352	4
BRD-A36057565	bruceantin	CASP2	-4.2432249784469604	-5.739924907684326	4
BRD-A36057565	bruceantin	CASS4	1.1857999861240387	1.823449969291687	4
BRD-A36057565	bruceantin	CTSH	-0.5487499684095383	0.015500009059906006	4
BRD-A36057565	bruceantin	EPHA1	-1.004737488925457	-0.18372498452663422	4
BRD-A36057565	bruceantin	GSTK1	-0.019512474536895752	-0.08654996752738953	4
BRD-A36057565	bruceantin	PICALM	3.5723875164985657	3.609724998474121	4
BRD-A36057565	bruceantin	PLEKHA1	2.561374992132187	2.611150026321411	4
BRD-A36057565	bruceantin	PSMC3	-1.6576124876737595	-1.706250011920929	4
BRD-A36057565	bruceantin	RABEP1	1.0410624742507935	1.1598999798297882	4
BRD-A36057565	bruceantin	RHOH	2.1316125094890594	2.644374966621399	4
BRD-A36057565	bruceantin	USP6NL	-6.6290875896811485	-8.441250085830688	4
BRD-A36057565	bruceantin	ZYX	0.8343624770641327	1.0147249698638916	4
BRD-A04706586	bucladesine	BIN1	-0.2487499862909317	-0.2487499862909317	1
BRD-A15931911	bucladesine	BIN1	0.1614999920129776	0.08529998362064362	6
BRD-A04706586	bucladesine	CASP2	-0.25290000438690186	-0.25290000438690186	1
BRD-A15931911	bucladesine	CASP2	-0.18121667206287384	-0.37519998848438263	6
BRD-A04706586	bucladesine	CASS4	0.04739999771118164	0.04739999771118164	1
BRD-A15931911	bucladesine	CASS4	-0.7438333270450433	-0.5070499926805496	6
