pert_id	pert_iname	n_genes	slope	slope_se	slope_z	p_protective	p_two_sided	sum_wx2	protective_slope	minus_log10_p_protective	clinical_phase	moa	target	disease_area	indication	annotation_source	biology_note
BRD-K48692744	NU-1025	13.0	-0.2975566735544062	0.0841342182883408	-3.5366902980501234	0.00020258724343555343	0.00040517448687110686	141.27153761762494	0.2975566735544062	3.6933879048788425	Preclinical	PARP inhibitor	PARP1	not annotated		Broad Repurposing Hub	
BRD-K47335880	GMX-1778	13.0	-0.15106754982568277	0.04300371455523706	-3.5128953716693645	0.00022162599301770247	0.00044325198603540494	540.739455042457	0.15106754982568277	3.6543793054862657	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K19216856	epigallocatechin	13.0	-0.13895393479570856	0.039830111614290495	-3.488665463489532	0.0002427191364694938	0.0004854382729389876	630.3430273425836	0.13895393479570856	3.614895981659524	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-A56359832	zileuton	13.0	-0.18971054714213761	0.055091874183898604	-3.4435304652892578	0.0002870859504649598	0.0005741719009299196	329.4768506070193	0.18971054714213761	3.5419880606725678	Launched	leukotriene synthesis inhibitor|lipoxygenase inhibitor	ALOX5	pulmonary	asthma	Broad Repurposing Hub	
BRD-K05402890	BRD-K05402890	13.0	-0.44064733019164615	0.1281771565966648	-3.4377992295322297	0.0002932311760636551	0.0005864623521273102	60.866556656301995	0.44064733019164615	3.5327898577941124	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K02526760	QS-11	13.0	-0.2104669795909812	0.0613508340868325	-3.430547974182358	0.0003011817238840661	0.0006023634477681322	265.68011893752237	0.2104669795909812	3.5211713852506077	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K61662457	CAY-10594	13.0	-0.11313939371482681	0.03351611166928738	-3.3756718210991803	0.0003681784830683065	0.000736356966136613	890.210561618936	0.11313939371482681	3.433941595945409	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K13049116	BMS-754807	13.0	-0.33254808422104215	0.10106690526374534	-3.290375651190871	0.0005002685652024541	0.0010005371304049081	97.89985869663576	0.33254808422104215	3.300796785519591	Phase 2	IGF-1 inhibitor	AKT1|IGF1R	not annotated		Broad Repurposing Hub	
BRD-A26711594	nicardipine	13.0	-0.22394829570310257	0.0695159526969434	-3.2215381795803184	0.0006375223652772476	0.0012750447305544953	206.93361370430887	0.22394829570310257	3.195504574900098	Launched	calcium channel blocker	ADORA3	cardiology	chronic stable angina|hypertension	Broad Repurposing Hub	
BRD-K59597909	phenothiazine	13.0	-0.2019142262524594	0.06298127854323377	-3.2059404147195028	0.0006731093080178277	0.0013462186160356554	252.10244318183408	0.2019142262524594	3.171914403808386	Preclinical	dopamine receptor antagonist	not annotated	not annotated		Broad Repurposing Hub	
BRD-K14329163	BAY-K-8644-(S)-(-)	13.0	-0.1189568022771477	0.037963122978653396	-3.133483047325609	0.0008637244845528709	0.0017274489691057418	693.8668454488192	0.1189568022771477	3.0636247690030602	Preclinical	L-type calcium channel activator	CACNA1C	not annotated		Broad Repurposing Hub	
BRD-K66792149	quinoclamine	13.0	-0.16775528130700146	0.055852559998159634	-3.0035379096773553	0.0013343014999618698	0.0026686029999237397	320.5633237903012	0.16775528130700146	2.87474602576056	not annotated	not annotated	not annotated	not annotated		not annotated	
